商品ID,是否上架,日期,是否企业店铺,店铺名称,店铺等级,掌柜ID,资质押金,描述,服务,物流,价格1,价格2,价格3,价格4,价格,优惠券,是否免邮,尺码,库存,支付,是否公益,收藏宝贝,详情照片数,视频有无,累计评论,商品信息字数,30天销售量,30天成功交易量,评论有图,追评,好评,中评,差评,评价印象标签及数量
599277078165,1,2019/10/3,0,叮叮猫瑞典代购,2蓝冠,叮叮猫瑞典购,10000元,4.9,4.9,4.9,4150.00,4100.00,3950.00,3575.00,3280.00,0,1,XXS/XS/S/M/L,536,蚂蚁花呗/信用卡支付/集分宝,0,310,31,1,11,155,40,9,0,0,11,0,0,0,
573151764078,1,2019/10/3,0,XM雪幂家,1蓝冠,柴荣0209,2001元,4.7,4.7,4.8,168.00,118.00,0,118.00,98.00,0,1,均码,1382,蚂蚁花呗/信用卡支付/集分宝,1,18029,36,1,67,180,54,41,6,0,67,0,0,0,
600576817692,1,2019/10/3,0,恒源祥服装专柜店,2蓝冠,tao313096979,2000元,4.9,4.9,4.9,158.00,238.00,238.00,198.00,168.00,淘金币可抵3.36元//5元店铺优惠券/满108元可用/领取,1,M/L/XL/2XL/3XL,12482,蚂蚁花呗/信用卡支付/集分宝,1,3504,16,1,382,201,1781,1245,9,9,381,1,0,质量不错/(114)/衣衣很舒服/(105)/穿上好看/(73)/色彩很好/(53)/大小合适/(46)/做工好/(43)/版型漂亮/(39)/款式很好/(39)/料子好/(27)/没有色差/(24),
599153554973,1,2019/10/3,0,淡水河边流,5蓝钻,淡水名品,2000元,4.9,4.9,4.9,5808.00,4368.00,3168.00,3168.00,1188.00,淘金币可抵23.76元//100元店铺优惠券/满3000元可用/领取//20元店铺优惠券/满700元可用/领取,1,4/6/8/10,569,蚂蚁花呗/信用卡支付/集分宝,0,158,11,1,201,94,92,71,8,1,201,0,0,质量蛮好/(60)/很舒服/(59)/穿着美/(45)/版型好/(24)/是正品/(22)/款式很潮/(21)/做工很好/(15)/尺寸很准/(14)/快递不错/(11)/划算/(9),
602572204708,1,2019/10/3,0,艾米法国代购,2蓝冠,yms124255,1000元,4.9,4.9,4.9,2380.00,1980.00,1600.00,1800.00,1630.00,100元店铺优惠券/满2998元可用/领取//30元店铺优惠券/满1000元可用/领取,1,1码/2码/3码,109,蚂蚁花呗/信用卡支付/集分宝,1,45,4,0,16,172,41,23,0,0,16,0,0,0,
601483606440,1,2019/10/3,0,阿凡达百代,4蓝钻,洛丫头66,1000元,4.9,4.9,4.9,1680.00,1560.00,1550.00,1380.00,1480.00,0,1,0/1/2/3/4/5,404,蚂蚁花呗/信用卡支付/集分宝,0,672,9,0,87,158,122,98,6,1,87,0,0,质量不错/(33)/穿上好看/(20)/衣衣是正品/(15)/衣衣很舒服/(13)/款式很好/(9)/式样好/(7)/尺码很好/(6)/发货快/(3)/服务不错/(3)/物流快/(3),
601772136463,1,2019/10/3,1,小虫XIAOCHONG,3金冠,小虫米子,2000元,4.9,4.9,4.9,3998.00,1488.00,1188.00,0,898.00,淘金币可抵17.96元//满499/送优惠券/满899/送优惠券/满1599/送优惠券,1,S/M/L/XL,104,蚂蚁花呗/信用卡支付/集分宝,0,346,54,1,41,170,162,108,0,0,41,0,0,0,
602567163445,1,2019/10/3,0,chicJOC/极简极奢,1金冠,joc_studio,1000元,4.9,4.9,4.9,1.0万,4219.99,2699.99,2319.99,1269.99,每满200减20,0,34/36/38,42,蚂蚁花呗/信用卡支付/集分宝,0,1242,66,0,55,102,324,184,12,2,55,0,0,0,
579073509380,1,2019/10/3,0,泡泡法国代购,2蓝冠,余泡泡1105,1000元,4.9,4.9,4.9,2432.00,1800.00,1680.00,1552.00,1000.00,淘金币可抵20.00元//100元店铺优惠券/满1000元可用/领取,1,1/2/3,161,蚂蚁花呗/信用卡支付/集分宝,0,2649,8,0,38,72,176,119,1,0,38,0,0,0,
598858036975,1,2019/10/3,0,Manny法国代购,2蓝冠,蘑菇小姐198807,1001元,4.9,4.9,4.9,1795.00,1425.00,1695.00,1560.00,1635.00,淘金币可抵32.70元,1,1码/2码/3码,11,蚂蚁花呗/信用卡支付/集分宝,0,309,7,0,51,161,75,49,1,0,51,0,0,0,
603019886097,1,2019/10/3,0,多多法国,1蓝冠,我站在山顶上,1000元,5.0,5.0,5.0,1440.00,1440.00,1440.00,1395.00,1080.00,0,1,1/2/3,12,蚂蚁花呗/集分宝,0,69,8,0,15,73,58,28,0,0,15,0,0,0,
601052992994,1,2019/10/3,1,UMOOIE/优慕伊/美丽家女装,3金冠,wewe0565,10000元,4.8,4.9,4.9,899.00,599.00,568.00,0,399.00,淘金币可抵7.98元//满388/享部分地区包邮,0,XS/S/M/L/XL,81,蚂蚁花呗/信用卡支付/集分宝,0,8275,10,0,447,189,2362,703,8,2,446,1,0,颜色很美/(37)/很舒适/(26)/版型好看/(15)/质量好/(13)/穿着漂亮/(11)/料子不错/(6)/手感好/(5)/服务好/(3)/颜色不喜欢/(5)/不划算/(4),
